                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0085    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.3032   
No. Observations:,5931            ,  R-squared (Within):  ,-0.0126   
Date:            ,Mon, Jun 06 2022,  R-squared (Overall): ,-0.0070   
Time:            ,18:23:27        ,  Log-likelihood       ,7919.4    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,3.3651    
Entities:        ,21              ,  P-value              ,0.0000    
Avg Obs:         ,282.43          ,  Distribution:        ,F(15,5869)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,760.00          ,  F-statistic (robust):,2.8003    
                 ,                ,  P-value              ,0.0002    
Time periods:    ,34              ,  Distribution:        ,F(15,5869)
Avg Obs:         ,174.44          ,                       ,          
Min Obs:         ,141.00          ,                       ,          
Max Obs:         ,304.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-0.0229  ,0.1099   ,-0.2083,0.8350 ,-0.2384 ,0.1926  
L_0_entry_rate_whole   ,-0.1188  ,0.1622   ,-0.7325,0.4639 ,-0.4367 ,0.1991  
L_0_log_gdp            ,-0.0174  ,0.0290   ,-0.6003,0.5483 ,-0.0744 ,0.0395  
L_0_log_restriction_2_0,0.0265   ,0.0158   ,1.6737 ,0.0943 ,-0.0045 ,0.0575  
L_1_entry_rate_whole   ,-0.0899  ,0.2284   ,-0.3937,0.6938 ,-0.5376 ,0.3578  
L_1_log_gdp            ,-0.0297  ,0.0413   ,-0.7193,0.4720 ,-0.1106 ,0.0512  
L_1_log_restriction_2_0,0.0321   ,0.0202   ,1.5898 ,0.1119 ,-0.0075 ,0.0717  
L_2_entry_rate_whole   ,0.2575   ,0.2020   ,1.2745 ,0.2025 ,-0.1386 ,0.6535  
L_2_log_gdp            ,0.0027   ,0.0473   ,0.0576 ,0.9540 ,-0.0899 ,0.0954  
L_2_log_restriction_2_0,-0.0272  ,0.0186   ,-1.4590,0.1446 ,-0.0637 ,0.0093  
L_3_entry_rate_whole   ,0.1131   ,0.2007   ,0.5637 ,0.5730 ,-0.2804 ,0.5066  
L_3_log_gdp            ,0.0042   ,0.0427   ,0.0990 ,0.9212 ,-0.0794 ,0.0879  
L_3_log_restriction_2_0,-0.0036  ,0.0216   ,-0.1654,0.8686 ,-0.0459 ,0.0388  
L_4_entry_rate_whole   ,-0.0477  ,0.1421   ,-0.3353,0.7374 ,-0.3263 ,0.2310  
L_4_log_gdp            ,0.0485   ,0.0298   ,1.6303 ,0.1031 ,-0.0098 ,0.1068  
L_4_log_restriction_2_0,-0.0192  ,0.0157   ,-1.2247,0.2207 ,-0.0499 ,0.0115  

F-test for Poolability: 8.1837
P-value: 0.0000
Distribution: F(46,5869)

Included effects: Entity, Time
