,age,Coef,lower_ci,upper_ci
0,2,-416.21019143559687,-1516.0160684314396,683.5956855602458
1,3,-301.5771668670241,-719.3081212098639,116.15378747581559
2,4,164.2205856213487,-509.2362740548946,837.677445297592
3,5,-206.53555698517334,-1252.186536289137,839.1154223187903
