                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,L_0_entry_rate  ,  R-squared:         ,0.7699   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.7620   
No. Observations:,9412            ,  F-statistic:       ,2.65e+05 
Date:            ,Tue, Sep 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:40        ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.6112]      ,-0.9033  ,0.3737   ,-2.4170,0.0156 ,-1.6358 ,-0.1708 
C(sector)[T.6113]      ,-0.9102  ,0.3738   ,-2.4351,0.0149 ,-1.6429 ,-0.1776 
C(sector)[T.6114]      ,-0.8044  ,0.3741   ,-2.1504,0.0315 ,-1.5376 ,-0.0713 
C(sector)[T.6115]      ,-0.8417  ,0.3739   ,-2.2513,0.0244 ,-1.5744 ,-0.1089 
C(sector)[T.6116]      ,-0.7927  ,0.3739   ,-2.1202,0.0340 ,-1.5255 ,-0.0599 
C(sector)[T.6117]      ,-0.7605  ,0.3739   ,-2.0340,0.0419 ,-1.4934 ,-0.0277 
C(sector)[T.6211]      ,-0.7968  ,0.3575   ,-2.2287,0.0258 ,-1.4975 ,-0.0961 
C(sector)[T.6212]      ,-0.8155  ,0.3582   ,-2.2767,0.0228 ,-1.5176 ,-0.1135 
C(sector)[T.6213]      ,-0.7635  ,0.3592   ,-2.1253,0.0336 ,-1.4676 ,-0.0594 
C(sector)[T.6214]      ,-0.7630  ,0.3595   ,-2.1224,0.0338 ,-1.4675 ,-0.0584 
C(sector)[T.6215]      ,-0.7430  ,0.3585   ,-2.0728,0.0382 ,-1.4456 ,-0.0404 
C(sector)[T.6216]      ,-0.6956  ,0.3606   ,-1.9292,0.0537 ,-1.4023 ,0.0111  
C(sector)[T.6219]      ,-0.7504  ,0.3582   ,-2.0953,0.0361 ,-1.4524 ,-0.0485 
C(sector)[T.6221]      ,-0.8390  ,0.3574   ,-2.3476,0.0189 ,-1.5396 ,-0.1385 
C(sector)[T.6222]      ,-0.8033  ,0.3574   ,-2.2474,0.0246 ,-1.5038 ,-0.1028 
C(sector)[T.6223]      ,-0.7666  ,0.3589   ,-2.1361,0.0327 ,-1.4699 ,-0.0632 
C(sector)[T.6231]      ,-0.7871  ,0.3582   ,-2.1973,0.0280 ,-1.4892 ,-0.0850 
C(sector)[T.6232]      ,-0.7924  ,0.3587   ,-2.2088,0.0272 ,-1.4955 ,-0.0893 
C(sector)[T.6233]      ,-0.7506  ,0.3588   ,-2.0920,0.0364 ,-1.4538 ,-0.0474 
