                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,log_emp         ,  R-squared:         ,0.9784   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.9776   
No. Observations:,9412            ,  F-statistic:       ,1.543e+08
Date:            ,Tue, Sep 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:54        ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.3333]      ,7.8966   ,2.5594   ,3.0853 ,0.0020 ,2.8803  ,12.913  
C(sector)[T.3334]      ,8.2044   ,2.5603   ,3.2045 ,0.0014 ,3.1863  ,13.222  
C(sector)[T.3335]      ,8.4507   ,2.5574   ,3.3044 ,0.0010 ,3.4383  ,13.463  
C(sector)[T.3336]      ,7.8926   ,2.5628   ,3.0797 ,0.0021 ,2.8696  ,12.916  
C(sector)[T.3339]      ,8.9217   ,2.5617   ,3.4826 ,0.0005 ,3.9007  ,13.943  
C(sector)[T.3341]      ,8.1323   ,2.5569   ,3.1805 ,0.0015 ,3.1209  ,13.144  
C(sector)[T.3342]      ,8.3410   ,2.5598   ,3.2584 ,0.0011 ,3.3239  ,13.358  
C(sector)[T.3343]      ,6.1973   ,2.5652   ,2.4159 ,0.0157 ,1.1695  ,11.225  
C(sector)[T.3344]      ,9.2198   ,2.5589   ,3.6030 ,0.0003 ,4.2045  ,14.235  
C(sector)[T.3345]      ,9.3365   ,2.5617   ,3.6447 ,0.0003 ,4.3158  ,14.357  
C(sector)[T.3346]      ,6.6087   ,2.5603   ,2.5812 ,0.0098 ,1.5905  ,11.627  
C(sector)[T.3351]      ,7.3233   ,2.5598   ,2.8608 ,0.0042 ,2.3061  ,12.340  
C(sector)[T.3352]      ,7.5672   ,2.5574   ,2.9589 ,0.0031 ,2.5548  ,12.580  
C(sector)[T.3353]      ,8.3031   ,2.5604   ,3.2429 ,0.0012 ,3.2848  ,13.321  
C(sector)[T.3359]      ,8.3005   ,2.5597   ,3.2428 ,0.0012 ,3.2836  ,13.317  
C(sector)[T.3361]      ,8.4968   ,2.5646   ,3.3132 ,0.0009 ,3.4703  ,13.523  
C(sector)[T.3362]      ,8.0600   ,2.5606   ,3.1476 ,0.0016 ,3.0412  ,13.079  
C(sector)[T.3363]      ,9.6374   ,2.5627   ,3.7607 ,0.0002 ,4.6147  ,14.660  
C(sector)[T.3364]      ,9.3231   ,2.5603   ,3.6414 ,0.0003 ,4.3050  ,14.341  
C(sector)[T.3365]      ,6.5469   ,2.5603   ,2.5571 ,0.0106 ,1.5289  ,11.565  
C(sector)[T.3366]      ,8.1673   ,2.5635   ,3.1860 ,0.0014 ,3.1430  ,13.192  
C(sector)[T.3369]      ,6.7891   ,2.5700   ,2.6417 ,0.0082 ,1.7520  ,11.826  
C(sector)[T.3371]      ,8.9711   ,2.5615   ,3.5023 ,0.0005 ,3.9507  ,13.991  
C(sector)[T.3372]      ,8.1542   ,2.5652   ,3.1788 ,0.0015 ,3.1266  ,13.182  
C(sector)[T.3379]      ,6.8835   ,2.5561   ,2.6930 ,0.0071 ,1.8736  ,11.893  
C(sector)[T.3391]      ,8.8396   ,2.5613   ,3.4512 ,0.0006 ,3.8196  ,13.860  
C(sector)[T.3399]      ,9.0749   ,2.5629   ,3.5408 ,0.0004 ,4.0516  ,14.098  
C(sector)[T.4231]      ,9.1452   ,1.7909   ,5.1064 ,0.0000 ,5.6350  ,12.655  
C(sector)[T.4232]      ,8.2682   ,1.8014   ,4.5899 ,0.0000 ,4.7375  ,11.799  
C(sector)[T.4233]      ,8.5421   ,1.8018   ,4.7409 ,0.0000 ,5.0107  ,12.074  
C(sector)[T.4234]      ,9.7910   ,1.7940   ,5.4576 ,0.0000 ,6.2748  ,13.307  
C(sector)[T.4235]      ,8.3022   ,1.7987   ,4.6158 ,0.0000 ,4.7769  ,11.827  
C(sector)[T.4236]      ,9.3865   ,1.7992   ,5.2169 ,0.0000 ,5.8600  ,12.913  
C(sector)[T.4237]      ,8.6234   ,1.7959   ,4.8018 ,0.0000 ,5.1036  ,12.143  
C(sector)[T.4238]      ,9.8658   ,1.7936   ,5.5004 ,0.0000 ,6.3503  ,13.381  
C(sector)[T.4239]      ,9.0309   ,1.7998   ,5.0178 ,0.0000 ,5.5034  ,12.558  
C(sector)[T.4241]      ,8.5060   ,1.7932   ,4.7436 ,0.0000 ,4.9915  ,12.021  
C(sector)[T.4242]      ,8.6802   ,1.8112   ,4.7924 ,0.0000 ,5.1303  ,12.230  
C(sector)[T.4243]      ,8.5074   ,1.7997   ,4.7271 ,0.0000 ,4.9800  ,12.035  
C(sector)[T.4244]      ,9.9227   ,1.7965   ,5.5232 ,0.0000 ,6.4015  ,13.444  
C(sector)[T.4245]      ,7.5965   ,1.7836   ,4.2590 ,0.0000 ,4.1006  ,11.092  
C(sector)[T.4246]      ,8.2930   ,1.7971   ,4.6145 ,0.0000 ,4.7706  ,11.815  
C(sector)[T.4247]      ,8.1185   ,1.7817   ,4.5567 ,0.0000 ,4.6265  ,11.610  
C(sector)[T.4248]      ,8.3835   ,1.7961   ,4.6677 ,0.0000 ,4.8633  ,11.904  
C(sector)[T.4249]      ,9.1291   ,1.7965   ,5.0816 ,0.0000 ,5.6081  ,12.650  
C(sector)[T.4251]      ,8.9728   ,1.8004   ,4.9838 ,0.0000 ,5.4441  ,12.501  
C(sector)[T.4411]      ,10.680   ,2.2622   ,4.7209 ,0.0000 ,6.2457  ,15.113  
C(sector)[T.4412]      ,8.4295   ,2.2633   ,3.7245 ,0.0002 ,3.9936  ,12.865  
C(sector)[T.4413]      ,9.8709   ,2.2605   ,4.3667 ,0.0000 ,5.4405  ,14.301  
C(sector)[T.4421]      ,9.1304   ,2.2606   ,4.0390 ,0.0001 ,4.6998  ,13.561  
C(sector)[T.4422]      ,9.1114   ,2.2626   ,4.0269 ,0.0001 ,4.6768  ,13.546  
C(sector)[T.4431]      ,9.5766   ,2.2667   ,4.2249 ,0.0000 ,5.1339  ,14.019  
C(sector)[T.4441]      ,10.525   ,2.2626   ,4.6519 ,0.0000 ,6.0907  ,14.960  
C(sector)[T.4442]      ,8.7158   ,2.2614   ,3.8542 ,0.0001 ,4.2835  ,13.148  
C(sector)[T.4451]      ,11.498   ,2.2618   ,5.0834 ,0.0000 ,7.0646  ,15.931  
C(sector)[T.4452]      ,8.6514   ,2.2619   ,3.8248 ,0.0001 ,4.2181  ,13.085  
C(sector)[T.4453]      ,8.6436   ,2.2618   ,3.8216 ,0.0001 ,4.2106  ,13.077  
C(sector)[T.4461]      ,10.445   ,2.2627   ,4.6163 ,0.0000 ,6.0104  ,14.880  
C(sector)[T.4471]      ,10.473   ,2.2620   ,4.6301 ,0.0000 ,6.0398  ,14.907  
C(sector)[T.4481]      ,10.646   ,2.2588   ,4.7130 ,0.0000 ,6.2185  ,15.073  
C(sector)[T.4482]      ,8.9614   ,2.2597   ,3.9657 ,0.0001 ,4.5324  ,13.390  
C(sector)[T.4483]      ,8.6816   ,2.2622   ,3.8376 ,0.0001 ,4.2477  ,13.115  
C(sector)[T.4511]      ,9.5974   ,2.2618   ,4.2432 ,0.0000 ,5.1643  ,14.030  
C(sector)[T.4512]      ,8.3950   ,2.2603   ,3.7142 ,0.0002 ,3.9650  ,12.825  
C(sector)[T.4522]      ,10.535   ,2.2537   ,4.6743 ,0.0000 ,6.1174  ,14.952  
C(sector)[T.4523]      ,10.972   ,2.2638   ,4.8468 ,0.0000 ,6.5353  ,15.409  
C(sector)[T.4531]      ,8.2924   ,2.2623   ,3.6655 ,0.0002 ,3.8584  ,12.726  
C(sector)[T.4532]      ,9.2797   ,2.2601   ,4.1058 ,0.0000 ,4.8499  ,13.710  
