                    PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.1956   
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.2458   
No. Observations:,3303            ,  R-squared (Within):  ,0.1864   
Date:            ,Mon, Jun 06 2022,  R-squared (Overall): ,0.1898   
Time:            ,18:23:29        ,  Log-likelihood       ,4537.4   
Cov. Estimator:  ,Robust          ,                       ,         
                 ,                ,  F-statistic:         ,98.734   
Entities:        ,17              ,  P-value              ,0.0000   
Avg Obs:         ,194.29          ,  Distribution:        ,F(8,3248)
Min Obs:         ,0.0000          ,                       ,         
Max Obs:         ,302.00          ,  F-statistic (robust):,240.27   
                 ,                ,  P-value              ,0.0000   
Time periods:    ,34              ,  Distribution:        ,F(8,3248)
Avg Obs:         ,97.147          ,                       ,         
Min Obs:         ,68.000          ,                       ,         
Max Obs:         ,184.00          ,                       ,         
                 ,                ,                       ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-0.0378  ,0.1496   ,-0.2527,0.8005 ,-0.3312 ,0.2555  
L_0_entry_rate_whole   ,-0.1449  ,0.1278   ,-1.1340,0.2569 ,-0.3954 ,0.1056  
L_0_log_gdp            ,-0.0265  ,0.0189   ,-1.4015,0.1612 ,-0.0636 ,0.0106  
L_0_log_restriction_2_0,0.0057   ,0.0162   ,0.3515 ,0.7253 ,-0.0261 ,0.0374  
L_3_entry_rate_whole   ,0.2089   ,0.1231   ,1.6973 ,0.0897 ,-0.0324 ,0.4502  
L_3_log_gdp            ,0.0298   ,0.0172   ,1.7292 ,0.0839 ,-0.0040 ,0.0635  
L_3_log_restriction_2_0,0.0026   ,0.0167   ,0.1544 ,0.8773 ,-0.0301 ,0.0352  
cross                  ,-0.0037  ,0.0015   ,-2.3905,0.0169 ,-0.0067 ,-0.0007 
large_firm             ,-0.0337  ,0.0164   ,-2.0483,0.0406 ,-0.0659 ,-0.0014 

F-test for Poolability: 1.4247
P-value: 0.0319
Distribution: F(46,3248)

Included effects: Entity, Time
