                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,death_rate      ,  R-squared:         ,0.6638   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.6518   
No. Observations:,9050            ,  F-statistic:       ,9.269e+12
Date:            ,Sat, Aug 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,20:45:47        ,  Distribution:      ,chi2(314)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                              Parameter Estimates                              
                       ,Parameter,Std. Err., T-stat,P-value, Lower CI ,Upper CI
C(year)[T.2002]        ,0.0150   ,0.0069   ,2.1751 ,0.0296 ,0.0015    ,0.0286  
C(year)[T.2003]        ,0.0104   ,0.0072   ,1.4407 ,0.1497 ,-0.0037   ,0.0246  
C(year)[T.2004]        ,0.0110   ,0.0076   ,1.4382 ,0.1504 ,-0.0040   ,0.0259  
C(year)[T.2005]        ,0.0142   ,0.0081   ,1.7493 ,0.0802 ,-0.0017   ,0.0302  
C(year)[T.2006]        ,0.0209   ,0.0086   ,2.4230 ,0.0154 ,0.0040    ,0.0378  
C(year)[T.2007]        ,0.0240   ,0.0090   ,2.6597 ,0.0078 ,0.0063    ,0.0417  
C(year)[T.2008]        ,0.0324   ,0.0096   ,3.3734 ,0.0007 ,0.0136    ,0.0512  
C(year)[T.2009]        ,0.0391   ,0.0101   ,3.8720 ,0.0001 ,0.0193    ,0.0589  
C(year)[T.2010]        ,0.0289   ,0.0100   ,2.8796 ,0.0040 ,0.0092    ,0.0485  
C(year)[T.2011]        ,0.0283   ,0.0105   ,2.6878 ,0.0072 ,0.0077    ,0.0489  
C(year)[T.2012]        ,0.0229   ,0.0112   ,2.0526 ,0.0401 ,0.0010    ,0.0448  
C(year)[T.2013]        ,0.0262   ,0.0118   ,2.2218 ,0.0263 ,0.0031    ,0.0493  
C(year)[T.2014]        ,0.0264   ,0.0121   ,2.1810 ,0.0292 ,0.0027    ,0.0501  
C(year)[T.2015]        ,0.0258   ,0.0122   ,2.1175 ,0.0342 ,0.0019    ,0.0497  
C(year)[T.2016]        ,0.0291   ,0.0126   ,2.3110 ,0.0208 ,0.0044    ,0.0538  
C(year)[T.2017]        ,0.0417   ,0.0146   ,2.8550 ,0.0043 ,0.0131    ,0.0704  
C(year)[T.2018]        ,0.0436   ,0.0147   ,2.9741 ,0.0029 ,0.0149    ,0.0723  
C(year)[T.2019]        ,0.0493   ,0.0144   ,3.4212 ,0.0006 ,0.0211    ,0.0776  
L_0_log_gdp            ,-0.0073  ,0.0032   ,-2.3213,0.0203 ,-0.0135   ,-0.0011 
L_0_log_restriction_2_0,-0.0775  ,0.0176   ,-4.4008,0.0000 ,-0.1120   ,-0.0430 

Endogenous: L_0_log_restriction_2_0
Instruments: L_0_bartik_iv
Robust Covariance (Heteroskedastic)
Debiased: False
