                      PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.9971     
Estimator:       ,PanelOLS         ,  R-squared (Between): ,0.8515     
No. Observations:,72532            ,  R-squared (Within):  ,0.9961     
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,0.9933     
Time:            ,16:23:42         ,  Log-likelihood       ,2.015e+05  
Cov. Estimator:  ,Clustered        ,                       ,           
                 ,                 ,  F-statistic:         ,2.637e+06  
Entities:        ,262              ,  P-value              ,0.0000     
Avg Obs:         ,276.84           ,  Distribution:        ,F(10,72242)
Min Obs:         ,0.0000           ,                       ,           
Max Obs:         ,303.00           ,  F-statistic (robust):,1.367e+06  
                 ,                 ,  P-value              ,0.0000     
Time periods:    ,38               ,  Distribution:        ,F(10,72242)
Avg Obs:         ,1908.7           ,                       ,           
Min Obs:         ,1676.0           ,                       ,           
Max Obs:         ,1926.0           ,                       ,           
                 ,                 ,                       ,           
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.0.0],0.8935   ,0.0498   ,17.932 ,0.0000 ,0.7958  ,0.9911  
C(age_grp_dummy)[T.1.0],-0.0989  ,0.0486   ,-2.0350,0.0419 ,-0.1941 ,-0.0036 
C(age_grp_dummy)[T.2.0],-0.0634  ,0.0502   ,-1.2632,0.2065 ,-0.1617 ,0.0350  
C(age_grp_dummy)[T.3.0],-0.0623  ,0.0505   ,-1.2348,0.2169 ,-0.1612 ,0.0366  
C(age_grp_dummy)[T.4.0],-0.0626  ,0.0505   ,-1.2395,0.2152 ,-0.1616 ,0.0364  
C(age_grp_dummy)[T.5.0],-0.0635  ,0.0505   ,-1.2582,0.2083 ,-0.1625 ,0.0354  
C(age_grp_dummy)[T.6.0],-0.0655  ,0.0504   ,-1.2977,0.1944 ,-0.1643 ,0.0334  
C(age_grp_dummy)[T.7.0],-0.0653  ,0.0503   ,-1.2980,0.1943 ,-0.1640 ,0.0333  
L_0_entry_rate_whole   ,0.0341   ,0.0147   ,2.3260 ,0.0200 ,0.0054  ,0.0629  
L_0_log_gdp            ,0.0133   ,0.0040   ,3.2884 ,0.0010 ,0.0054  ,0.0212  
L_0_log_restriction_2_0,0.0015   ,0.0029   ,0.5167 ,0.6054 ,-0.0043 ,0.0073  

F-test for Poolability: 132.68
P-value: 0.0000
Distribution: F(279,72242)

Included effects: Entity, Time
