                     IV-2SLS Estimation Summary                    
Dep. Variable:   ,reallocation_rate,  R-squared:         ,0.7142   
Estimator:       ,IV-2SLS          ,  Adj. R-squared:    ,0.7041   
No. Observations:,8079             ,  F-statistic:       ,3.28e+05 
Date:            ,Wed, Aug 17 2022 ,  P-value (F-stat)   ,0.0000   
Time:            ,19:47:15         ,  Distribution:      ,chi2(276)
Cov. Estimator:  ,heteroskedastic  ,                     ,         
                 ,                 ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.5232]      ,-3.1944  ,0.4025   ,-7.9360,0.0000 ,-3.9833 ,-2.4055 
C(sector)[T.5239]      ,-2.9063  ,0.3984   ,-7.2951,0.0000 ,-3.6872 ,-2.1255 
C(sector)[T.5241]      ,-3.0003  ,0.3988   ,-7.5237,0.0000 ,-3.7819 ,-2.2187 
C(sector)[T.5242]      ,-2.9370  ,0.3983   ,-7.3735,0.0000 ,-3.7177 ,-2.1563 
C(sector)[T.5250]      ,-2.7388  ,0.4016   ,-6.8203,0.0000 ,-3.5258 ,-1.9517 
C(sector)[T.5411]      ,-2.9760  ,0.3939   ,-7.5548,0.0000 ,-3.7481 ,-2.2040 
C(sector)[T.5412]      ,-2.8940  ,0.3942   ,-7.3420,0.0000 ,-3.6665 ,-2.1214 
C(sector)[T.5413]      ,-2.9193  ,0.3938   ,-7.4128,0.0000 ,-3.6912 ,-2.1474 
C(sector)[T.5414]      ,-2.8438  ,0.3940   ,-7.2177,0.0000 ,-3.6161 ,-2.0716 
C(sector)[T.5415]      ,-2.8326  ,0.3936   ,-7.1964,0.0000 ,-3.6041 ,-2.0612 
C(sector)[T.5416]      ,-2.8035  ,0.3938   ,-7.1194,0.0000 ,-3.5753 ,-2.0317 
C(sector)[T.5417]      ,-2.9508  ,0.3939   ,-7.4916,0.0000 ,-3.7227 ,-2.1788 
C(sector)[T.5418]      ,-2.8897  ,0.3942   ,-7.3301,0.0000 ,-3.6623 ,-2.1170 
C(sector)[T.5419]      ,-2.9032  ,0.3939   ,-7.3700,0.0000 ,-3.6753 ,-2.1311 
C(sector)[T.5611]      ,-2.7540  ,0.3850   ,-7.1540,0.0000 ,-3.5085 ,-1.9995 
C(sector)[T.5612]      ,-2.7971  ,0.3850   ,-7.2651,0.0000 ,-3.5516 ,-2.0425 
C(sector)[T.5613]      ,-2.7153  ,0.3855   ,-7.0428,0.0000 ,-3.4710 ,-1.9597 
C(sector)[T.5614]      ,-2.7811  ,0.3857   ,-7.2097,0.0000 ,-3.5371 ,-2.0251 
C(sector)[T.5615]      ,-2.8259  ,0.3866   ,-7.3103,0.0000 ,-3.5835 ,-2.0682 
C(sector)[T.5616]      ,-2.8025  ,0.3856   ,-7.2676,0.0000 ,-3.5582 ,-2.0467 
C(sector)[T.5617]      ,-2.7777  ,0.3852   ,-7.2107,0.0000 ,-3.5327 ,-2.0227 
C(sector)[T.5619]      ,-2.7891  ,0.3859   ,-7.2278,0.0000 ,-3.5454 ,-2.0328 
C(sector)[T.5621]      ,-2.8830  ,0.3853   ,-7.4828,0.0000 ,-3.6381 ,-2.1278 
C(sector)[T.5622]      ,-2.8812  ,0.3862   ,-7.4600,0.0000 ,-3.6382 ,-2.1243 
C(sector)[T.5629]      ,-2.7549  ,0.3851   ,-7.1543,0.0000 ,-3.5096 ,-2.0002 
