                    PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0139   
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.1124   
No. Observations:,5914            ,  R-squared (Within):  ,0.0120   
Date:            ,Sun, Jun 19 2022,  R-squared (Overall): ,0.0437   
Time:            ,15:34:54        ,  Log-likelihood       ,7216.2   
Cov. Estimator:  ,Clustered       ,                       ,         
                 ,                ,  F-statistic:         ,11.484   
Entities:        ,262             ,  P-value              ,0.0000   
Avg Obs:         ,22.573          ,  Distribution:        ,F(7,5711)
Min Obs:         ,0.0000          ,                       ,         
Max Obs:         ,40.000          ,  F-statistic (robust):,46.837   
                 ,                ,  P-value              ,0.0000   
Time periods:    ,34              ,  Distribution:        ,F(7,5711)
Avg Obs:         ,173.94          ,                       ,         
Min Obs:         ,143.00          ,                       ,         
Max Obs:         ,304.00          ,                       ,         
                 ,                ,                       ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,0.2501   ,0.1593   ,1.5698 ,0.1165 ,-0.0622 ,0.5625  
L_0_entry_rate_whole   ,0.0789   ,0.0464   ,1.6985 ,0.0895 ,-0.0122 ,0.1699  
L_0_log_gdp            ,-0.0503  ,0.0123   ,-4.0780,0.0000 ,-0.0745 ,-0.0261 
L_0_log_restriction_2_0,0.0377   ,0.0156   ,2.4181 ,0.0156 ,0.0071  ,0.0683  
L_4_entry_rate_whole   ,0.0306   ,0.0327   ,0.9357 ,0.3494 ,-0.0335 ,0.0946  
L_4_log_gdp            ,0.0504   ,0.0084   ,6.0164 ,0.0000 ,0.0340  ,0.0668  
L_4_log_restriction_2_0,-0.0420  ,0.0222   ,-1.8890,0.0589 ,-0.0855 ,0.0016  
log_emp_cohort         ,-0.0099  ,0.0020   ,-4.8732,0.0000 ,-0.0138 ,-0.0059 

F-test for Poolability: 6.1436
P-value: 0.0000
Distribution: F(195,5711)

Included effects: Entity, Time
