                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.2830    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-24.215   
No. Observations:,7058            ,  R-squared (Within):  ,-0.5107   
Date:            ,Wed, Jul 13 2022,  R-squared (Overall): ,-22.473   
Time:            ,09:50:13        ,  Log-likelihood       ,-4.221e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,382.04    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,26.939          ,  Distribution:        ,F(7,6777) 
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,33.000          ,  F-statistic (robust):,37.955    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,37              ,  Distribution:        ,F(7,6777) 
Avg Obs:         ,190.76          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,226.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
L_0_entry_rate_whole   ,-1133.2  ,256.22   ,-4.4226,0.0000 ,-1635.4 ,-630.89 
L_0_log_gdp            ,-25.683  ,46.551   ,-0.5517,0.5812 ,-116.94 ,65.571  
L_0_log_restriction_2_0,-34.463  ,38.094   ,-0.9047,0.3657 ,-109.14 ,40.214  
avg_entry_rate_whole   ,-310.21  ,218.04   ,-1.4227,0.1549 ,-737.62 ,117.21  
avg_log_gdp            ,158.22   ,46.777   ,3.3825 ,0.0007 ,66.524  ,249.92  
avg_log_restriction_2_0,127.46   ,43.194   ,2.9508 ,0.0032 ,42.782  ,212.13  
log_emp_cohort         ,84.924   ,8.5063   ,9.9836 ,0.0000 ,68.249  ,101.60  

F-test for Poolability: 77.056
P-value: 0.0000
Distribution: F(273,6777)

Included effects: Entity, Time
