,age,Coef,lower_ci,upper_ci
0,1,-1.6854087702946043,-6.086760958523266,2.715943417934057
1,2,-6.0531057333009075,-9.868998814920282,-2.2372126516815336
2,3,-4.409566193880121,-6.508189802980177,-2.310942584780064
3,4,-1.330205514379599,-4.043168056067677,1.382757027308479
4,5,-1.408130533447323,-3.1843641584186355,0.36810309152398935
