                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,log_avg_emp     ,  R-squared:         ,0.9087   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.9055   
No. Observations:,8079            ,  F-statistic:       ,4.621e+06
Date:            ,Wed, Aug 17 2022,  P-value (F-stat)   ,0.0000   
Time:            ,19:47:08        ,  Distribution:      ,chi2(276)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.5413]      ,19.919   ,2.6796   ,7.4334 ,0.0000 ,14.667  ,25.171  
C(sector)[T.5414]      ,18.744   ,2.6794   ,6.9954 ,0.0000 ,13.492  ,23.995  
C(sector)[T.5415]      ,19.875   ,2.6765   ,7.4259 ,0.0000 ,14.629  ,25.121  
C(sector)[T.5416]      ,19.315   ,2.6753   ,7.2199 ,0.0000 ,14.072  ,24.558  
C(sector)[T.5417]      ,21.174   ,2.6774   ,7.9083 ,0.0000 ,15.926  ,26.421  
C(sector)[T.5418]      ,19.827   ,2.6796   ,7.3992 ,0.0000 ,14.575  ,25.079  
C(sector)[T.5419]      ,19.497   ,2.6777   ,7.2813 ,0.0000 ,14.249  ,24.745  
C(sector)[T.5611]      ,19.865   ,2.6133   ,7.6014 ,0.0000 ,14.743  ,24.987  
C(sector)[T.5612]      ,21.689   ,2.6111   ,8.3064 ,0.0000 ,16.571  ,26.807  
C(sector)[T.5613]      ,21.963   ,2.6162   ,8.3950 ,0.0000 ,16.835  ,27.091  
C(sector)[T.5614]      ,20.190   ,2.6176   ,7.7131 ,0.0000 ,15.059  ,25.320  
C(sector)[T.5615]      ,19.596   ,2.6224   ,7.4726 ,0.0000 ,14.456  ,24.736  
C(sector)[T.5616]      ,20.771   ,2.6156   ,7.9412 ,0.0000 ,15.644  ,25.897  
C(sector)[T.5617]      ,19.461   ,2.6116   ,7.4518 ,0.0000 ,14.343  ,24.580  
C(sector)[T.5619]      ,19.867   ,2.6185   ,7.5871 ,0.0000 ,14.734  ,24.999  
C(sector)[T.5621]      ,20.100   ,2.6140   ,7.6894 ,0.0000 ,14.977  ,25.224  
C(sector)[T.5622]      ,20.737   ,2.6203   ,7.9141 ,0.0000 ,15.601  ,25.873  
C(sector)[T.5629]      ,19.667   ,2.6138   ,7.5243 ,0.0000 ,14.544  ,24.790  
C(sector)[T.6111]      ,19.521   ,2.4043   ,8.1193 ,0.0000 ,14.809  ,24.233  
C(sector)[T.6112]      ,20.737   ,2.4040   ,8.6260 ,0.0000 ,16.025  ,25.449  
C(sector)[T.6113]      ,22.186   ,2.4042   ,9.2277 ,0.0000 ,17.473  ,26.898  
C(sector)[T.6114]      ,18.105   ,2.4056   ,7.5261 ,0.0000 ,13.390  ,22.820  
C(sector)[T.6115]      ,18.554   ,2.4045   ,7.7163 ,0.0000 ,13.841  ,23.267  
C(sector)[T.6116]      ,17.949   ,2.4043   ,7.4655 ,0.0000 ,13.237  ,22.662  
C(sector)[T.6117]      ,18.308   ,2.4046   ,7.6138 ,0.0000 ,13.595  ,23.021  
C(sector)[T.6211]      ,17.790   ,2.4477   ,7.2678 ,0.0000 ,12.992  ,22.587  
C(sector)[T.6212]      ,17.314   ,2.4361   ,7.1073 ,0.0000 ,12.540  ,22.089  
C(sector)[T.6213]      ,17.197   ,2.4410   ,7.0452 ,0.0000 ,12.413  ,21.982  
C(sector)[T.6214]      ,19.306   ,2.4400   ,7.9122 ,0.0000 ,14.523  ,24.088  
C(sector)[T.6215]      ,18.834   ,2.4342   ,7.7372 ,0.0000 ,14.063  ,23.604  
C(sector)[T.6216]      ,19.716   ,2.4434   ,8.0691 ,0.0000 ,14.927  ,24.505  
C(sector)[T.6219]      ,19.073   ,2.4335   ,7.8379 ,0.0000 ,14.304  ,23.843  
C(sector)[T.6221]      ,22.690   ,2.4289   ,9.3416 ,0.0000 ,17.929  ,27.450  
C(sector)[T.6222]      ,21.663   ,2.4269   ,8.9262 ,0.0000 ,16.907  ,26.420  
C(sector)[T.6223]      ,21.759   ,2.4340   ,8.9393 ,0.0000 ,16.988  ,26.529  
C(sector)[T.6231]      ,20.642   ,2.4324   ,8.4860 ,0.0000 ,15.874  ,25.409  
C(sector)[T.6232]      ,19.515   ,2.4359   ,8.0113 ,0.0000 ,14.740  ,24.289  
C(sector)[T.6233]      ,19.270   ,2.4351   ,7.9134 ,0.0000 ,14.497  ,24.043  
C(sector)[T.6239]      ,19.096   ,2.4284   ,7.8634 ,0.0000 ,14.336  ,23.855  
C(sector)[T.6241]      ,18.756   ,2.4420   ,7.6809 ,0.0000 ,13.970  ,23.543  
C(sector)[T.6242]      ,18.205   ,2.4375   ,7.4689 ,0.0000 ,13.428  ,22.983  
C(sector)[T.6243]      ,19.593   ,2.4280   ,8.0696 ,0.0000 ,14.834  ,24.352  
C(sector)[T.6244]      ,18.110   ,2.4362   ,7.4337 ,0.0000 ,13.335  ,22.885  
C(sector)[T.7111]      ,17.347   ,2.2357   ,7.7588 ,0.0000 ,12.965  ,21.729  
C(sector)[T.7112]      ,18.091   ,2.2361   ,8.0906 ,0.0000 ,13.709  ,22.474  
C(sector)[T.7113]      ,17.707   ,2.2392   ,7.9078 ,0.0000 ,13.318  ,22.096  
