                      PanelOLS Estimation Summary                      
Dep. Variable:   ,per_emp_chg     ,  R-squared:           ,0.8565      
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-39.504     
No. Observations:,237087          ,  R-squared (Within):  ,0.8505      
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.2559      
Time:            ,12:37:15        ,  Log-likelihood       ,-2.826e+04  
Cov. Estimator:  ,Clustered       ,                       ,            
                 ,                ,  F-statistic:         ,1.811e+05   
Entities:        ,277             ,  P-value              ,0.0000      
Avg Obs:         ,855.91          ,  Distribution:        ,F(10,236929)
Min Obs:         ,0.0000          ,                       ,            
Max Obs:         ,2240.0          ,  F-statistic (robust):,604.28      
                 ,                ,  P-value              ,0.0000      
Time periods:    ,43              ,  Distribution:        ,F(10,236929)
Avg Obs:         ,5513.7          ,                       ,            
Min Obs:         ,0.0000          ,                       ,            
Max Obs:         ,7680.0          ,                       ,            
                 ,                ,                       ,            
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.0.0]       ,6.1579   ,0.3723   ,16.538 ,0.0000 ,5.4281  ,6.8877  
C(age_grp_dummy)[T.1.0]       ,6.1516   ,0.3733   ,16.477 ,0.0000 ,5.4198  ,6.8833  
C(age_grp_dummy)[T.2.0]       ,6.1332   ,0.3748   ,16.363 ,0.0000 ,5.3985  ,6.8678  
C(age_grp_dummy)[T.3.0]       ,6.1146   ,0.3760   ,16.260 ,0.0000 ,5.3776  ,6.8516  
C(age_grp_dummy)[T.4.0]       ,6.0988   ,0.3772   ,16.167 ,0.0000 ,5.3594  ,6.8381  
C(age_grp_dummy)[T.5.0]       ,6.0826   ,0.3775   ,16.112 ,0.0000 ,5.3427  ,6.8225  
chg_restriction_2_0_4         ,-0.0526  ,0.0410   ,-1.2816,0.2000 ,-0.1330 ,0.0278  
entry_rate_whole              ,1.9071   ,0.4322   ,4.4129 ,0.0000 ,1.0601  ,2.7541  
entry_rate_whole_pre_cohort   ,1.3350   ,0.3061   ,4.3616 ,0.0000 ,0.7351  ,1.9349  
log_emp_pre_cohort            ,-0.6428  ,0.0204   ,-31.584,0.0000 ,-0.6827 ,-0.6029 
log_restriction_2_4_pre_cohort,-0.0400  ,0.0393   ,-1.0173,0.3090 ,-0.1171 ,0.0371  

F-test for Poolability: 4704.4
P-value: 0.0000
Distribution: F(147,236929)

Included effects: Entity, Time
