                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.2639    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-24.458   
No. Observations:,7424            ,  R-squared (Within):  ,-0.5109   
Date:            ,Tue, Jul 19 2022,  R-squared (Overall): ,-22.830   
Time:            ,12:28:21        ,  Log-likelihood       ,-4.548e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,365.69    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,28.336          ,  Distribution:        ,F(7,7141) 
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,34.000          ,  F-statistic (robust):,40.031    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(7,7141) 
Avg Obs:         ,218.35          ,                       ,          
Min Obs:         ,206.00          ,                       ,          
Max Obs:         ,228.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
L_0_entry_rate_whole   ,-1360.0  ,305.49   ,-4.4520,0.0000 ,-1958.9 ,-761.18 
L_0_log_gdp            ,-68.994  ,59.144   ,-1.1665,0.2434 ,-184.93 ,46.946  
L_0_log_restriction_2_0,9.4413   ,46.309   ,0.2039 ,0.8385 ,-81.338 ,100.22  
avg_entry_rate_whole   ,-246.08  ,290.91   ,-0.8459,0.3976 ,-816.34 ,324.18  
avg_log_gdp            ,206.05   ,57.068   ,3.6105 ,0.0003 ,94.175  ,317.92  
avg_log_restriction_2_0,108.32   ,52.514   ,2.0627 ,0.0392 ,5.3779  ,211.26  
log_emp_cohort         ,104.93   ,9.5163   ,11.027 ,0.0000 ,86.277  ,123.59  

F-test for Poolability: 86.389
P-value: 0.0000
Distribution: F(275,7141)

Included effects: Entity, Time
