                     IV-2SLS Estimation Summary                    
Dep. Variable:   ,estabs_entry_rate,  R-squared:         ,0.8561   
Estimator:       ,IV-2SLS          ,  Adj. R-squared:    ,0.8511   
No. Observations:,8262             ,  F-statistic:       ,5.197e+05
Date:            ,Sat, Aug 13 2022 ,  P-value (F-stat)   ,0.0000   
Time:            ,22:39:22         ,  Distribution:      ,chi2(279)
Cov. Estimator:  ,heteroskedastic  ,                     ,         
                 ,                 ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.4522]      ,-0.0441  ,0.0907   ,-0.4865,0.6266 ,-0.2218 ,0.1336  
C(sector)[T.4523]      ,0.0163   ,0.0905   ,0.1803 ,0.8570 ,-0.1610 ,0.1936  
C(sector)[T.4531]      ,0.0241   ,0.0904   ,0.2663 ,0.7900 ,-0.1531 ,0.2013  
C(sector)[T.4532]      ,0.0428   ,0.0903   ,0.4738 ,0.6356 ,-0.1342 ,0.2198  
C(sector)[T.4533]      ,0.0493   ,0.0902   ,0.5467 ,0.5846 ,-0.1275 ,0.2261  
C(sector)[T.4539]      ,0.0664   ,0.0903   ,0.7347 ,0.4625 ,-0.1107 ,0.2434  
C(sector)[T.4541]      ,0.1048   ,0.0900   ,1.1642 ,0.2443 ,-0.0716 ,0.2813  
C(sector)[T.4542]      ,0.0412   ,0.0904   ,0.4552 ,0.6490 ,-0.1360 ,0.2184  
C(sector)[T.4543]      ,0.0313   ,0.0903   ,0.3472 ,0.7285 ,-0.1456 ,0.2082  
C(sector)[T.4811]      ,0.0146   ,0.0957   ,0.1521 ,0.8791 ,-0.1730 ,0.2021  
C(sector)[T.4812]      ,0.0583   ,0.0953   ,0.6122 ,0.5404 ,-0.1284 ,0.2450  
C(sector)[T.4831]      ,0.0285   ,0.0953   ,0.2994 ,0.7646 ,-0.1583 ,0.2154  
C(sector)[T.4832]      ,0.0269   ,0.0954   ,0.2819 ,0.7780 ,-0.1601 ,0.2139  
C(sector)[T.4841]      ,0.0966   ,0.0953   ,1.0145 ,0.3103 ,-0.0901 ,0.2833  
C(sector)[T.4842]      ,0.0576   ,0.0956   ,0.6031 ,0.5464 ,-0.1297 ,0.2449  
C(sector)[T.4851]      ,0.0289   ,0.0955   ,0.3021 ,0.7626 ,-0.1584 ,0.2161  
C(sector)[T.4852]      ,0.0052   ,0.0959   ,0.0545 ,0.9566 ,-0.1827 ,0.1931  
C(sector)[T.4853]      ,0.0876   ,0.0954   ,0.9178 ,0.3587 ,-0.0994 ,0.2746  
C(sector)[T.4854]      ,-0.0003  ,0.0956   ,-0.0036,0.9972 ,-0.1877 ,0.1870  
C(sector)[T.4855]      ,0.0273   ,0.0955   ,0.2858 ,0.7750 ,-0.1598 ,0.2144  
C(sector)[T.4859]      ,0.0933   ,0.0952   ,0.9802 ,0.3270 ,-0.0932 ,0.2798  
C(sector)[T.4861]      ,0.0244   ,0.0959   ,0.2539 ,0.7996 ,-0.1637 ,0.2124  
C(sector)[T.4862]      ,0.0062   ,0.0963   ,0.0639 ,0.9491 ,-0.1826 ,0.1949  
C(sector)[T.4869]      ,0.0110   ,0.0960   ,0.1147 ,0.9087 ,-0.1771 ,0.1991  
C(sector)[T.4871]      ,0.0616   ,0.0953   ,0.6460 ,0.5183 ,-0.1253 ,0.2484  
C(sector)[T.4872]      ,0.0752   ,0.0954   ,0.7881 ,0.4306 ,-0.1118 ,0.2622  
C(sector)[T.4879]      ,0.0352   ,0.0955   ,0.3687 ,0.7123 ,-0.1519 ,0.2223  
C(sector)[T.4881]      ,0.0411   ,0.0953   ,0.4307 ,0.6667 ,-0.1458 ,0.2279  
C(sector)[T.4882]      ,0.0315   ,0.0955   ,0.3301 ,0.7413 ,-0.1557 ,0.2188  
C(sector)[T.4883]      ,0.0151   ,0.0955   ,0.1578 ,0.8746 ,-0.1722 ,0.2023  
C(sector)[T.4884]      ,0.0753   ,0.0951   ,0.7921 ,0.4283 ,-0.1111 ,0.2617  
C(sector)[T.4885]      ,0.0399   ,0.0953   ,0.4192 ,0.6751 ,-0.1468 ,0.2267  
C(sector)[T.4889]      ,0.0965   ,0.0958   ,1.0073 ,0.3138 ,-0.0913 ,0.2843  
C(sector)[T.4921]      ,0.0540   ,0.0956   ,0.5646 ,0.5723 ,-0.1334 ,0.2413  
C(sector)[T.4922]      ,0.0821   ,0.0956   ,0.8593 ,0.3902 ,-0.1052 ,0.2694  
C(sector)[T.4931]      ,0.0204   ,0.0955   ,0.2139 ,0.8306 ,-0.1667 ,0.2075  
C(sector)[T.5111]      ,0.0217   ,0.0925   ,0.2343 ,0.8147 ,-0.1595 ,0.2029  
C(sector)[T.5112]      ,0.0728   ,0.0926   ,0.7858 ,0.4320 ,-0.1087 ,0.2543  
C(sector)[T.5121]      ,0.0728   ,0.0924   ,0.7880 ,0.4307 ,-0.1083 ,0.2539  
C(sector)[T.5122]      ,0.0928   ,0.0925   ,1.0033 ,0.3157 ,-0.0885 ,0.2742  
C(sector)[T.5151]      ,0.0337   ,0.0925   ,0.3643 ,0.7156 ,-0.1477 ,0.2151  
C(sector)[T.5152]      ,0.0748   ,0.0938   ,0.7975 ,0.4251 ,-0.1090 ,0.2586  
C(sector)[T.5173]      ,0.0779   ,0.0929   ,0.8385 ,0.4017 ,-0.1042 ,0.2599  
C(sector)[T.5174]      ,0.1001   ,0.0930   ,1.0767 ,0.2816 ,-0.0821 ,0.2824  
C(sector)[T.5179]      ,0.1606   ,0.0937   ,1.7142 ,0.0865 ,-0.0230 ,0.3443  
C(sector)[T.5182]      ,0.0846   ,0.0925   ,0.9145 ,0.3605 ,-0.0967 ,0.2658  
C(sector)[T.5191]      ,0.0722   ,0.0925   ,0.7808 ,0.4349 ,-0.1091 ,0.2536  
C(sector)[T.5211]      ,-0.0664  ,0.0965   ,-0.6880,0.4915 ,-0.2556 ,0.1228  
C(sector)[T.5221]      ,-0.0074  ,0.0957   ,-0.0775,0.9382 ,-0.1949 ,0.1801  
C(sector)[T.5222]      ,0.0562   ,0.0957   ,0.5878 ,0.5567 ,-0.1313 ,0.2438  
C(sector)[T.5223]      ,0.0947   ,0.0966   ,0.9813 ,0.3264 ,-0.0945 ,0.2840  
C(sector)[T.5231]      ,0.0793   ,0.0964   ,0.8226 ,0.4107 ,-0.1096 ,0.2682  
C(sector)[T.5232]      ,0.0761   ,0.1013   ,0.7508 ,0.4527 ,-0.1225 ,0.2746  
C(sector)[T.5239]      ,0.0837   ,0.0960   ,0.8717 ,0.3834 ,-0.1045 ,0.2719  
C(sector)[T.5241]      ,0.0652   ,0.0960   ,0.6789 ,0.4972 ,-0.1230 ,0.2534  
C(sector)[T.5242]      ,0.0218   ,0.0959   ,0.2275 ,0.8200 ,-0.1661 ,0.2097  
C(sector)[T.5250]      ,0.1684   ,0.0974   ,1.7282 ,0.0840 ,-0.0226 ,0.3593  
C(sector)[T.5411]      ,0.0130   ,0.0950   ,0.1372 ,0.8909 ,-0.1732 ,0.1993  
C(sector)[T.5412]      ,0.0339   ,0.0950   ,0.3563 ,0.7216 ,-0.1524 ,0.2201  
C(sector)[T.5413]      ,0.0403   ,0.0951   ,0.4242 ,0.6714 ,-0.1460 ,0.2267  
C(sector)[T.5414]      ,0.0817   ,0.0950   ,0.8601 ,0.3897 ,-0.1045 ,0.2680  
C(sector)[T.5415]      ,0.1246   ,0.0951   ,1.3104 ,0.1901 ,-0.0618 ,0.3110  
C(sector)[T.5416]      ,0.1272   ,0.0950   ,1.3394 ,0.1805 ,-0.0589 ,0.3133  
C(sector)[T.5417]      ,0.0637   ,0.0950   ,0.6706 ,0.5025 ,-0.1225 ,0.2499  
C(sector)[T.5418]      ,0.0544   ,0.0951   ,0.5723 ,0.5671 ,-0.1320 ,0.2409  
C(sector)[T.5419]      ,0.0371   ,0.0950   ,0.3900 ,0.6965 ,-0.1492 ,0.2233  
C(sector)[T.5611]      ,0.0912   ,0.0925   ,0.9857 ,0.3243 ,-0.0901 ,0.2725  
C(sector)[T.5612]      ,0.1047   ,0.0931   ,1.1238 ,0.2611 ,-0.0779 ,0.2872  
C(sector)[T.5613]      ,0.0785   ,0.0926   ,0.8476 ,0.3967 ,-0.1030 ,0.2599  
C(sector)[T.5614]      ,0.0573   ,0.0925   ,0.6197 ,0.5355 ,-0.1240 ,0.2387  
C(sector)[T.5615]      ,0.0389   ,0.0924   ,0.4207 ,0.6740 ,-0.1423 ,0.2201  
C(sector)[T.5616]      ,0.0545   ,0.0924   ,0.5896 ,0.5555 ,-0.1267 ,0.2357  
C(sector)[T.5617]      ,0.0864   ,0.0927   ,0.9320 ,0.3513 ,-0.0953 ,0.2681  
C(sector)[T.5619]      ,0.0602   ,0.0927   ,0.6499 ,0.5158 ,-0.1214 ,0.2418  
C(sector)[T.5621]      ,0.0306   ,0.0924   ,0.3308 ,0.7408 ,-0.1506 ,0.2118  
C(sector)[T.5622]      ,0.0290   ,0.0927   ,0.3125 ,0.7547 ,-0.1527 ,0.2106  
C(sector)[T.5629]      ,0.0452   ,0.0924   ,0.4898 ,0.6243 ,-0.1358 ,0.2263  
C(sector)[T.6111]      ,-0.0175  ,0.0848   ,-0.2066,0.8364 ,-0.1836 ,0.1486  
C(sector)[T.6112]      ,-0.0194  ,0.0847   ,-0.2292,0.8187 ,-0.1855 ,0.1466  
C(sector)[T.6113]      ,-0.0132  ,0.0848   ,-0.1558,0.8762 ,-0.1794 ,0.1530  
C(sector)[T.6114]      ,0.0834   ,0.0848   ,0.9827 ,0.3258 ,-0.0829 ,0.2496  
C(sector)[T.6115]      ,0.0455   ,0.0847   ,0.5376 ,0.5908 ,-0.1205 ,0.2115  
C(sector)[T.6116]      ,0.0842   ,0.0847   ,0.9938 ,0.3203 ,-0.0819 ,0.2503  
C(sector)[T.6117]      ,0.1134   ,0.0848   ,1.3377 ,0.1810 ,-0.0527 ,0.2795  
C(sector)[T.6211]      ,0.0124   ,0.0873   ,0.1424 ,0.8868 ,-0.1587 ,0.1836  
C(sector)[T.6212]      ,-0.0134  ,0.0868   ,-0.1548,0.8770 ,-0.1836 ,0.1567  
C(sector)[T.6213]      ,0.0456   ,0.0868   ,0.5254 ,0.5993 ,-0.1245 ,0.2157  
C(sector)[T.6214]      ,0.0438   ,0.0868   ,0.5047 ,0.6137 ,-0.1264 ,0.2140  
C(sector)[T.6215]      ,0.0782   ,0.0867   ,0.9015 ,0.3673 ,-0.0918 ,0.2481  
