                    PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0090   
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.1944   
No. Observations:,8547            ,  R-squared (Within):  ,0.0768   
Date:            ,Wed, Jul 13 2022,  R-squared (Overall): ,0.1143   
Time:            ,10:37:53        ,  Log-likelihood       ,9196.5   
Cov. Estimator:  ,Robust          ,                       ,         
                 ,                ,  F-statistic:         ,5759.7   
Entities:        ,262             ,  P-value              ,0.0000   
Avg Obs:         ,32.622          ,  Distribution:        ,F(6,8262)
Min Obs:         ,0.0000          ,                       ,         
Max Obs:         ,37.000          ,  F-statistic (robust):,5.1274   
                 ,                ,  P-value              ,0.0000   
Time periods:    ,37              ,  Distribution:        ,F(6,8262)
Avg Obs:         ,231.00          ,                       ,         
Min Obs:         ,224.00          ,                       ,         
Max Obs:         ,237.00          ,                       ,         
                 ,                ,                       ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,0.3091   ,0.2283   ,1.3538 ,0.1758 ,-0.1385 ,0.7567  
L_0_entry_rate_whole   ,0.2534   ,0.3056   ,0.8291 ,0.4071 ,-0.3457 ,0.8525  
L_0_log_gdp            ,-0.1535  ,0.0467   ,-3.2853,0.0010 ,-0.2451 ,-0.0619 
L_0_log_restriction_1_0,0.0230   ,0.0193   ,1.1921 ,0.2332 ,-0.0148 ,0.0609  
L_1_entry_rate_whole   ,-0.2003  ,0.3205   ,-0.6251,0.5319 ,-0.8286 ,0.4279  
L_1_log_gdp            ,0.1229   ,0.0347   ,3.5401 ,0.0004 ,0.0549  ,0.1910  
L_1_log_restriction_1_0,-0.0110  ,0.0230   ,-0.4801,0.6312 ,-0.0562 ,0.0341  

F-test for Poolability: 9.8957
P-value: 0.0000
Distribution: F(278,8262)

Included effects: Entity, Time
