                      PanelOLS Estimation Summary                       
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.9997      
Estimator:       ,PanelOLS         ,  R-squared (Between): ,0.9850      
No. Observations:,272947           ,  R-squared (Within):  ,0.9997      
Date:            ,Thu, Jul 21 2022 ,  R-squared (Overall): ,0.9996      
Time:            ,12:56:40         ,  Log-likelihood       ,-5.069e+05  
Cov. Estimator:  ,Clustered        ,                       ,            
                 ,                 ,  F-statistic:         ,1.091e+08   
Entities:        ,262              ,  P-value              ,0.0000      
Avg Obs:         ,1041.8           ,  Distribution:        ,F(10,272742)
Min Obs:         ,0.0000           ,                       ,            
Max Obs:         ,2240.0           ,  F-statistic (robust):,1.988e+06   
                 ,                 ,  P-value              ,0.0000      
Time periods:    ,43               ,  Distribution:        ,F(10,272742)
Avg Obs:         ,6347.6           ,                       ,            
Min Obs:         ,0.0000           ,                       ,            
Max Obs:         ,8942.0           ,                       ,            
                 ,                 ,                       ,            
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.0.0]       ,198.78   ,0.5337   ,372.47 ,0.0000 ,197.73  ,199.82  
C(age_grp_dummy)[T.1.0]       ,-0.4068  ,0.5448   ,-0.7467,0.4553 ,-1.4746 ,0.6610  
C(age_grp_dummy)[T.2.0]       ,2.9020   ,0.7248   ,4.0041 ,0.0001 ,1.4815  ,4.3225  
C(age_grp_dummy)[T.3.0]       ,3.0467   ,0.7853   ,3.8797 ,0.0001 ,1.5075  ,4.5858  
C(age_grp_dummy)[T.4.0]       ,3.1092   ,0.8226   ,3.7799 ,0.0002 ,1.4970  ,4.7214  
C(age_grp_dummy)[T.5.0]       ,3.0429   ,0.8372   ,3.6347 ,0.0003 ,1.4020  ,4.6837  
chg_restriction_2_0_3         ,-0.0602  ,0.2089   ,-0.2880,0.7733 ,-0.4696 ,0.3493  
entry_rate_whole              ,0.7388   ,1.6857   ,0.4383 ,0.6612 ,-2.5651 ,4.0428  
entry_rate_whole_pre_cohort   ,1.2971   ,1.4894   ,0.8709 ,0.3838 ,-1.6220 ,4.2163  
log_emp_pre_cohort            ,0.0030   ,0.0040   ,0.7490 ,0.4538 ,-0.0049 ,0.0110  
log_restriction_2_3_pre_cohort,0.1068   ,0.0811   ,1.3171 ,0.1878 ,-0.0521 ,0.2656  

F-test for Poolability: 331.01
P-value: 0.0000
Distribution: F(194,272742)

Included effects: Entity, Time
