                      IV-2SLS Estimation Summary                      
Dep. Variable:   ,job_destruction_rate,  R-squared:         ,0.7146   
Estimator:       ,IV-2SLS             ,  Adj. R-squared:    ,0.7047   
No. Observations:,8262                ,  F-statistic:       ,3.197e+05
Date:            ,Sat, Aug 13 2022    ,  P-value (F-stat)   ,0.0000   
Time:            ,22:39:30            ,  Distribution:      ,chi2(279)
Cov. Estimator:  ,heteroskedastic     ,                     ,         
                 ,                    ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(year)[T.2016]        ,-0.1352  ,0.0147   ,-9.2312,0.0000 ,-0.1640 ,-0.1065 
C(year)[T.2017]        ,-0.1318  ,0.0162   ,-8.1514,0.0000 ,-0.1635 ,-0.1001 
C(year)[T.2018]        ,-0.1406  ,0.0164   ,-8.5960,0.0000 ,-0.1726 ,-0.1085 
C(year)[T.2019]        ,-0.1469  ,0.0161   ,-9.0951,0.0000 ,-0.1785 ,-0.1152 
L_0_log_gdp            ,-0.1120  ,0.0181   ,-6.1778,0.0000 ,-0.1476 ,-0.0765 
L_1_log_gdp            ,0.1256   ,0.0169   ,7.4451 ,0.0000 ,0.0926  ,0.1587  
L_0_log_restriction_2_0,0.0667   ,0.0115   ,5.8280 ,0.0000 ,0.0443  ,0.0892  

Endogenous: L_0_log_restriction_2_0
Instruments: L_0_bartik_iv
Robust Covariance (Heteroskedastic)
Debiased: False
