                     PanelOLS Estimation Summary                      
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.2457     
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0418     
No. Observations:,30277           ,  R-squared (Within):  ,0.2332     
Date:            ,Thu, Jun 02 2022,  R-squared (Overall): ,0.2358     
Time:            ,13:50:55        ,  Log-likelihood       ,2.995e+04  
Cov. Estimator:  ,Robust          ,                       ,           
                 ,                ,  F-statistic:         ,984.31     
Entities:        ,21              ,  P-value              ,0.0000     
Avg Obs:         ,1441.8          ,  Distribution:        ,F(10,30220)
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,3883.0          ,  F-statistic (robust):,774.88     
                 ,                ,  P-value              ,0.0000     
Time periods:    ,34              ,  Distribution:        ,F(10,30220)
Avg Obs:         ,890.50          ,                       ,           
Min Obs:         ,735.00          ,                       ,           
Max Obs:         ,1538.0          ,                       ,           
                 ,                ,                       ,           
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.1.0],0.1054   ,0.0675   ,1.5607 ,0.1186 ,-0.0270 ,0.2377  
C(age_grp_dummy)[T.2.0],0.0259   ,0.0676   ,0.3832 ,0.7016 ,-0.1066 ,0.1584  
C(age_grp_dummy)[T.3.0],-0.0029  ,0.0675   ,-0.0424,0.9662 ,-0.1352 ,0.1295  
C(age_grp_dummy)[T.4.0],-0.0198  ,0.0675   ,-0.2934,0.7693 ,-0.1521 ,0.1125  
C(age_grp_dummy)[T.5.0],-0.0313  ,0.0674   ,-0.4651,0.6419 ,-0.1634 ,0.1008  
L_0_entry_rate_whole   ,-0.3111  ,0.0739   ,-4.2077,0.0000 ,-0.4560 ,-0.1662 
L_0_log_gdp            ,-0.0658  ,0.0153   ,-4.3096,0.0000 ,-0.0957 ,-0.0359 
L_0_log_restriction_2_0,0.0417   ,0.0080   ,5.1991 ,0.0000 ,0.0260  ,0.0574  
avg_entry_rate_whole   ,0.2738   ,0.0763   ,3.5869 ,0.0003 ,0.1242  ,0.4234  
avg_log_gdp            ,0.0700   ,0.0147   ,4.7766 ,0.0000 ,0.0413  ,0.0987  
avg_log_restriction_2_0,-0.0301  ,0.0086   ,-3.5029,0.0005 ,-0.0470 ,-0.0133 

F-test for Poolability: 33.637
P-value: 0.0000
Distribution: F(46,30220)

Included effects: Entity, Time
