                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.0510    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.3022    
No. Observations:,4225            ,  R-squared (Within):  ,0.0458    
Date:            ,Tue, Jul 19 2022,  R-squared (Overall): ,0.0643    
Time:            ,12:28:12        ,  Log-likelihood       ,-3.817e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,20.318    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,248.53          ,  Distribution:        ,F(11,4163)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,337.00          ,  F-statistic (robust):,34.509    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(11,4163)
Avg Obs:         ,111.18          ,                       ,          
Min Obs:         ,102.00          ,                       ,          
Max Obs:         ,123.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-418.17  ,2713.2   ,-0.1541,0.8775 ,-5737.5 ,4901.2  
L_0_chg_restriction_2_0,105.40   ,552.82   ,0.1907 ,0.8488 ,-978.42 ,1189.2  
L_0_entry_rate_whole   ,-1497.6  ,2758.4   ,-0.5429,0.5872 ,-6905.6 ,3910.4  
L_0_log_gdp            ,139.99   ,295.78   ,0.4733 ,0.6360 ,-439.90 ,719.88  
L_1_chg_restriction_2_0,-76.858  ,554.22   ,-0.1387,0.8897 ,-1163.4 ,1009.7  
L_1_entry_rate_whole   ,1349.6   ,3044.1   ,0.4433 ,0.6575 ,-4618.5 ,7317.7  
L_1_log_gdp            ,57.864   ,373.99   ,0.1547 ,0.8771 ,-675.36 ,791.09  
L_2_entry_rate_whole   ,-143.16  ,2333.8   ,-0.0613,0.9511 ,-4718.6 ,4432.3  
L_2_log_gdp            ,34.940   ,302.26   ,0.1156 ,0.9080 ,-557.66 ,627.54  
L_2_log_restriction_2_0,11.325   ,219.38   ,0.0516 ,0.9588 ,-418.78 ,441.43  
cross                  ,-140.27  ,44.025   ,-3.1861,0.0015 ,-226.58 ,-53.955 
large_firm             ,536.69   ,456.68   ,1.1752 ,0.2400 ,-358.65 ,1432.0  

F-test for Poolability: 4.2473
P-value: 0.0000
Distribution: F(50,4163)

Included effects: Entity, Time
