,age,Coef,lower_ci,upper_ci
0,1,497.0878792428452,-1708.0097972330586,2702.185555718749
1,2,338.6243103148149,-1475.7851389231935,2153.0337595528235
2,3,654.418053780441,-847.1225369160317,2155.958644476914
3,4,-39.616986250085226,-1413.5432557041795,1334.3092832040093
4,5,80.79748100413805,-1390.5658143365627,1552.1607763448387
